org_kod;organisationstyp
AB;Antal Aktiebolag
BAB;Antal Bankaktiebolag
BF;Antal Bostadsföreningar
BRF;Antal Bostadsrättsföreningar
EK;Antal Ekonomisk föreningar
E;Antal Enskilda näringsidkare
SE;Antal Europabolag
FL;Antal Filialer till utländska företag
FAB;Antal Försäkringsaktiebolag
HB;Antal Handelsbolag
I;Antal Ideella föreningar som bedriver näring
KB;Antal Kommanditbolag
KHF;Antal Kooperativa hyresrättsföreningar
MB;Antal Medlemsbanker
SF;Antal Sambruksföreningar
SB;Antal Sparbanker
TSF;Antal Trossamfund
BFL;Antal Utländska bankers filialer
OFB;Antal Ömsesidiga försäkringsbolag
