Gymnasieprogram_kod,Gymnasieprogram,Gymnasieprogramstyp
*,Uppgift saknas,
BA,Bygg- och anläggningsprogrammet,Yrkesprogram
BA000000I,Bygg- och anläggningsprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BA000000N,Bygg- och anläggningsprogrammet (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAANL,"Bygg- och anläggningsprogrammet, Anläggningsfordon",Yrkesprogram
BAANL000I,Bygg- och anläggningsprogrammet; Anläggningsfordon (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAANL000N,Bygg- och anläggningsprogrammet; Anläggningsfordon (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAANL0A0I,"Bygg- och anläggningsprogrammet; Anläggningsfordon, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAANL0A0N,"Bygg- och anläggningsprogrammet; Anläggningsfordon, anställd lärlingb (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAANL0L,"Bygg- och anläggningsprogrammet, Anläggningsfordon, lärling",Yrkesprogram
BAANL0L0I,"Bygg- och anläggningsprogrammet; Anläggningsfordon, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAANL0L0N,"Bygg- och anläggningsprogrammet; Anläggningsfordon, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUS,"Bygg- och anläggningsprogrammet, Husbyggnad",Yrkesprogram
BAHUS000I,Bygg- och anläggningsprogrammet; Husbyggnad (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAHUS000N,Bygg- och anläggningsprogrammet; Husbyggnad (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAHUS0A,"Bygg- och anläggningsprogrammet; Husbyggnad, anställd lärling",Yrkesprogram
BAHUS0A0I,"Bygg- och anläggningsprogrammet; Husbyggnad, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUS0A0N,"Bygg- och anläggningsprogrammet; Husbyggnad, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUS0L,"Bygg- och anläggningsprogrammet, Husbyggnad, lärling",Yrkesprogram
BAHUS0L0I,"Bygg- och anläggningsprogrammet; Husbyggnad, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUS0L0N,"Bygg- och anläggningsprogrammet; Husbyggnad, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUSV,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant",Yrkesprogram
BAHUSV00I,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUSV00N,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUSVA,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, anställd lärling",Yrkesprogram
BAHUSVA0I,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUSVA0N,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAHUSVL,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, lärling",Yrkesprogram
BAHUSVL0I,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAHUSVL0N,"Bygg- och anläggningsprogrammet; Husbyggnad, särskild variant, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAL,"Bygg- och anläggningsprogrammet, Måleri",Yrkesprogram
BAMAL000I,Bygg- och anläggningsprogrammet; Måleri (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAMAL000N,Bygg- och anläggningsprogrammet; Måleri (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAMAL0A,"Bygg- och anläggningsprogrammet; Måleri, anställd lärling",Yrkesprogram
BAMAL0A0I,"Bygg- och anläggningsprogrammet; Måleri, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAL0A0N,"Bygg- och anläggningsprogrammet; Måleri, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAL0L,"Bygg- och anläggningsprogrammet, Måleri, lärling",Yrkesprogram
BAMAL0L0I,"Bygg- och anläggningsprogrammet; Måleri, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
BAMAL0L0N,"Bygg- och anläggningsprogrammet; Måleri, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
BAMAR,"Bygg- och anläggningsprogrammet, Mark och anläggning",Yrkesprogram
BAMAR000I,Bygg- och anläggningsprogrammet; Mark och anläggning (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAMAR000N,Bygg- och anläggningsprogrammet; Mark och anläggning (Nationellt godkänd idrottsutbildning),Yrkesprogram
BAMAR00R,"Bygg- och anläggningsprogrammet, Mark och anläggning (riksrekryterande)",Yrkesprogram
BAMAR00RI,Bygg- och anläggningsprogrammet; Mark och anläggning (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
BAMAR00RN,Bygg- och anläggningsprogrammet; Mark och anläggning (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
